V1,V2
last night wait forev gate someon corpor dispatch forgot call crew unfriendlyski,0
broken entertain system hour nyc flight terribl cabin crew servic onlin complaint form work hopeless,0
call work tell fault late flight,0
new appl crape amaz live ua realli nice crew americanair biscuit ua need httptcogzgqdtjj,1
offici worst delay least help airlin ever misfortun fli,0
item sentiment valu heartbroken miss,0
still wait repli,0
pleas see flight attend enough room head bag carri save time,0
want get bag benefit instead get price three ticket ad card mp visa option,0
tri dm go thru sure,0
link current status flightsairport fli bwiewrmco morn yet yet tell problem except see snow,0
like delay less one plane connect voucher,0
hope nicer flight time tri thing right sold ticket connet,0
got gate iah time given seat close flight know peopl arriv wait,0
yes wait line almost hour passeng just left want wait past am,0
still wait just hit one hour,0
although happi cancel flight flight home tomorrow phx atl dca happi easi rebook,0
hello hold extrem long time confirm amp get board pass tri numer time,0
frustrat loooooong wait time speak live person get board pass flight tomorrow,0
still updat text amp still respons email fr sr feel like yr lose custom servicecar,0
agent one rude unhelp prompt initi tweet easi fix,0
wife group prev flight got bump reason alon two kid least put group,0
flight delay hrs month pregnant amp suppos care mom whose surgeri now upset,0
thank much complet made thing right,1
love alway get best deal,1
hold min far tri book seat infant price increas meantim,0
poor perform around paid express checkin week ago even leverag bullshit,0
thx make right help meagan fouti brancato fl dfw gate preboard wkid b group pleas pleas,1
logic think check peopl board ve drove home time wait,0
thank southwest save trip sweetheart go miss see altonbrownl thank y sohappi,1
can someon call back hold two time today min still gotten,0
never mind move flight tomorrow thank help,1
manag get sort phone good luck deal snow texa,1
ground flight bc equip problem amp rude wife travel alon w young kid never,0
oh look just delay flight addit half hour now arriv offici five hour plan,0
weather bc system outag hope everyth goe smooth now thank follow,1
belt issu rough day worst part travel month old wait outsid degre,0
move pm flight main concern now luggag arriv told sw,0
use alway fli southwest,1
got bag hour late flightr offer go pick taxi cost one way spent inconveni,0
thx expect credit leg,0
appreci y get gate issu figur grr plenti open gate yet sit wait tarmac,0
minut hold wait ridicul,0
u seen messag past hour,0
thank awesom flight sweetheart got screw manag scrambl get sw plane today,1
thank much,1
roundtrip ticket just arriv auction postmast invit thank southwest httptcomrfbjtepef,1
went purchas flight began process even minut earlier point gone help,0
upset luggag damag rude employe laguardia airport help,0
tv stream mean get spend flight watch women world cup final throwback bestflightev,1
least enjoy free cocktail two,1
agre rt one airlin flyaway favorit dia newsbusi httptcoowlainimi,1
flight matter hell next get luggag proper transfer facepalm smh,0
phone servic suck,0
airport snow remov method keep good work folk cessna becom s httptcopofsxojsi,1
peopl exit row still suppos give verbal approv never ask flight,0
now arriv delay near hour yeah entir day airport idea stress less vacat fail,0
oh now compani caus us lose entir day vacat cancun de board wait anoth plane,0
tri chang reserv hold minut onlin direct call help,0
first call got drop wait min second ran time tri late flightr way onlin,0
yo tri make chang reserv whenev select flight say unabl price pleas help,0
great now de board perfect plane shot fml plan screw thank noth,0
let us plane bc toilet done even work goe famili vacay playa del carmen mexico neveragain,0
thank apolog unfortun one mani bad experi longer fli southwest,0
told custom servic custom relat can extend expir date unus travel fund,0
two hour now ugh get voucher inexcus esp pre flight check ok,0
horribl experi passeng size seat offer voucher christin c httptcoxzrkwvq,0
yes much look forward use airlin futur flight never,0
need learn treat peopl respect just littl digniti fail,0
redeempoint packag magic gone time final got felt like baitandswitch,0
think get faster respons twitter call,0
watch staff check passeng list twice first time forgot look id brutal,0
flight chibuf last night almost hour delay cuz someon got plane without pass sound safe,0
thx quick respons action bf make good use voucher satisfi happycustom,1
noth can help us restor barelyexpir rapidreward point,0
rapid reward program sold short lasttweetaboutthi still disappoint,0
freez plane,0
airlin peopl screw board pass way back puerto vallarta horribl,0
groupa group c never got sit next south west flight even honey moon,0
flight atlanta get cancel flightl re schedul phone hour rep bump us,0
due appar water issu check fine check husband alreadi deal first,0
u lot piss hungri tire peopl stuck midway hour schedul departur inexcus,0
know lost baggag portal httptcohuclxluvh work mobil httptcoozrqpcr,0
go charg wifi us solid make sure take length flight open page,0
websit now revert st flight minut delay chang reliabl inform,0
swa help hotel industri alway book flight day need somewher swa consist cancel flightsdelay,0
unfortun call answer servic horrid swa rolemodel finger point amp excus disappoint,0
frustrat inde especi one know issu,0
hold custom servic may quicker rebook trip lower fare differ go,0
thx respond,0
book flight phone never got confirm email go get,0
suppos take almost hour agovacationfail frozenwat gettingimpati theycouldatleastofferfreebooz,0
come get point buy rapid reward shop site,0
min answer wife babi need get flight arriv hrs prior pleas help venetia crook,0
wife month old might miss flight next direct pm mother law hold custom support,0
flight fll atl wife travel infant line check baggag peopl long due comput system crash,0
thank sent dm let know oyu need addit inform,1
hey friend phone list number ivr hang multipl time sure proceed,0
strive custom centric everyth communic advertis custom journey etc anamarket,1
la alway traffic insan one issu flight,0
insan traffic la tri call re schedul flight phone minut noth,0
can longer chang trip companion onlin year now get messag done onlin,0
ad rr number stay hard take rr number checkin marriott phone cs help,0
fli toronto kill small,0
custom centric know peopl anamarket,1
use guy travel last experi never use southwest worstcustomerservic,0
vipliveinthevieyard first time tri redeem pts anyth realli go well disappoint,0
ok thank hope,1
way receiv refund trip cancel flight onlin instead call phone line super busi,0
mom career day trip la intuitlif leanin httptcoqjbcvjzq southwestairlin,1
switch plane due mechan problem reboard work a now end long line stuck middl,0
book via phone call list prefer kta get ad ticket must use web,0
tri vip live vineyard yr site went time got redeem pts packag gone,0
best airlin hand amaz custom servic bag free afford flight happycamp,1
thank ellama las counter go beyond help us get back abq flight cancel flightl,1
thank take good care peopl al httptcomyywafkfi,1
smoooothest flight attend southwestsmoothi httptcovrklai,1
southwest airlin cancel flight flight charleston pm flight cancel flightat realli weather relat flightd,0
thank text exact time data throughout issu today mayb httptcoaaumkazi,0
call rep pleasant less help told sol train consist cx,0
year custom lost inch realli hurt everi time person front shift rap knee,0
great atleast next husband fli reserv,0
custom relat still open texa,0
thank tip,1
hate evolv seat knee seat pocket httptcofornpfki,0
thank team deal flight houston,1
bump preboard flight fat whatev reason thank,1
heart southwest commerci aim satisfi nanosmatt travel destin,0
etd swa phl appear delay info avail gate,0
can tell cancel flightl flight vs delay,0
bday yesterday girl gave birth first born get courtesi flight chang lynn thank,0
need know status cancel flightl instead delay flight,0
weather time cancel flight meet today,0
left ipad seat pocket file lost item report receiv exact week late flightr record unbeliev,1
flight msp cancel flight,0
luv y pleas stop overh plane second flight row feel like sauna,0
can anyon help upgrad buis select cant seem get hail right area know guy good,1
ask lindsey call instead dm like schoolgirl far call get tire type littl note,0
give us clever advertis bagsflyfre badpolici allow cheatcustom,0
just principl hard get mug amp upset took money amp give anyth wrongiswrong,0
custom servic use word wast time took money badbussi theft httptcozaqltf,0
three hour flight orlando wifi uncool firstworldproblem,0
love new plane light wish window larger httptcohujcjg,1
like ask bag pick pit amp taken hotel airport someon contact,0
custom servic fll bwi pit terribl one know bag job cloth amp gear,0
multipl attempt final abl submit late flight last night,0
am arriv find alreadi cancel flight option miss meet might know show,0
darn bought wrong devic way switch sure,0
cool shot moon one fleet httptcoklbaim,1
hey rememb time lost husband bag filmjobnoequip nowarmcloth,0
look forward fli swa friday luv airlin dtw mdw tus,1
love airlin much thank much servic great snack amaz everyth outstand thank,1
need redeem lost respect tonight lostbag filmjobnoequip,0
way fuck lose bag husband warm cloth equip youdidit notcool,0
wifi stay connect lifetim higg boson,0
phone agent abl give correct departur time cun can checkin onlin intern,0
make miss thebachelor right now wah,0
great flight cabo last week famili smoothflight frequentfly,1
can let bag flutter charg travel chang date fullpric let travel,0
late flightst ad make happi fli day bethonor,1
fact u see black histori month month year honor econom base corp like u futur,1
awesom flight dalla ny virgin america refus bc child peanut allergi u guy thank,1
let send dm follow lovedflyingwiththem notanymor wrong badpolici,0
welcom thought near entir plane,0
flight wifi wifi call make best combin love text feet air d,1
becom like everi airlin crook believ take shouldwearmask shock,0
conf fneqm flight delay hour friend wait bday pleas follow,0
twitter cust svc rule dont say fell short just told u u u cant solv problem say anyth,0
disappoint servic receiv check onlin check flight status onlin check airport,0
great day air httptcoynczutzz,1
thank,1
thank two smooth safe fast flight boston houston luvswa httptcoelhxuvuj,1
realli love custom servic lou ann phx rock thank sw ourguest,1
disappoint custom servic right now definit feel luv wors nd time winter,0
kati gate c denver intern fantast custom servic help new flyer thx amaz staff,1
kudo bag handler dtw gate pm ran keep bag hit ground degre temp httptcotxutsfkj,0
crew flight awesom tell sent tweet mayb give free wifi canthurtask,1
thankyou,1
happi enter sweepstak nutsaboutsouthwest,1
thank great custom servic today,1
beyond readi,1
call told bag made phl still deliv call deliveri servic,0
favorit airlin never issu plus crew entertain,1
way give voic custom pay servic satisfactorili deliv justsayin,0
flight attend realli funni sass give life,1
genuin surpris upgrad peopl cancel flight flight least put compar spot,0
follow thank,1
someon pleas dm custom relat number websit custom servic,0
second time row receiv text updat flight time chang offer use,0
cancel flightl flight now back queue want charg busi class stay classi,0
hope flyer get credit sort delay cancel flightlat shittyd notimpress,0
taylor u gotta love swa respons least huh,0
good thank,1
thank,1
now love take money take halfway home sorri late flight,0
oh ok good look forward escap cold bit thank,0
wifi slow point one get internet ugh,0
oh worri just never seen today mean¡­ great card,1
thank thank thank last attempt win destinationdragon ticket success happier,1
flight phx lax wheel stop glad home thank profession front cabin,1
eye next step improv inflight wifi runway girl httptcohhtoz,1
evennotifi us theflight isdelay via emailtextphon call wererun late flight piss unreli,0
can tweet weekend bad weather close custom relat center process refund cancel flight flight,0
stop cancel flight flight us histori test take chemistri thing learn understand,0
mdw san flt attend melissa awesom fast smile great weather cancel flight day b welcom,1
area pic taken see album,0
thank great custom servic far accid happen understand hope everyth work,1
question crazi board procedur confus prevent fistfight good seat,0
thank quick respons call daili wait day,1
prove cuz southwest peopl even know behind schedul,0
see worker time time go beyond love fli guy thank,1
u bae u lost bag clue happen hour,0
prove,0
travel agent darrel love field host paper airplan contest entertain children awesom see,1
big kudo staff today dalla love field lift everyon spirit today delay cancel flightlat,1
fun delay nashvill las vega crew gate c desk awesom patienc luvswa,1
think voucher make spend hrs plane land airport took realli,0
never got strip fast stoke special show tonight thx httptcotopqmvqnjp,1
problem apolog help result matter prove imposs find anyon interest,0
tell fam vega now,1
thank,1
new mkt strategi averag like rest whathappend rr point devalu httptcomdbdyomr,0
scaveng hunt locat anyth common play detect tri figur one atl,0
ruin sunday hour delay dia now bag wrong airport deliv insult injuri,0
can bring back jackson ms miss terribl around airlin horribl,1
hour degre differ yes pleas mht mco httptcomrawqdwd,1
sent look function app though one click action,0
like kelsey said realli bad spot local know long take find park walk bellagio,0
look like bellagio good luck peopl see show vinyl,1
can pair ticket wait sport practic live definit know,1
love southwest guy good httptcoxtdydbh,1
destinationdragon tix tonit inconveni sinc play scaveng hunt,0
crew great job keep everyon inform delay givethemrais,1
right delay crabbi also allow one famili member purchas earlybird check hold row,0
realli easi local get strip book,1
luv new luv televis commerci travel airlin last year return trip nycfeltthelov,1
peopl pre board need wheel chair plane case board,0
best airlin,1
netneutr nice see priorit internet traffic stream servic web site,1
poor custom servic display weekend storm stuck tarmac hour answer,0
thank get us paradis safe httptcokdzqczlpyr,1
feel frustrat bought wifi onboard load email,0
just go ahead start scaveng hunt pm today work destinationdragon,1
let one person board earli bird save seat entir parti notcool flight,0
awesom staff check desk paper airplan race sw gift card keep ppl entertain delay,1
get gin amp tonic,0
sick joke toyingwithouremot,0
pleas explain everi flight dalla go today except pm,0
continu airlin choic frustrat travel day experienc delay gate chang,0
just got call apolog person long wait last week tri rebook flight class act appreci,1
serious potenti wanna get away commerci debacl real fire,0
appreci respons constant chang flight time frustrat say least toughtomakeplan,0
long delay board get free drink gettingthirsti,0
can seem fair bag need fit seat need fit,0
terri hero got husband back thru secur retriev cellphon left plane austin terri u rock,1
just want chang anytim flight leav phone hold min phone answer say sorri dice,0
sincer cancel flight flight made drive hour get home,0
terri hero got husband back thru secur retriev cellphon left plane austin terri u rock,1
terri hero got husband back thru secur retriev cellphon austin terri rock,1
thank guy best,1
stick fli free southwest goe son work wonder compani mom fli free,1
pretti terribl custom servic sat hold min busi signal disconnect airlin suck,0
hook us get us tampa flight cancel flightl morn grate businesstrip,0
love passbook updat use day releas final thank,1
yes hope updat soon need cloth meet tomorrow,0
safeti dos dont announc flight midway mdw pittsburgh pit,1
fair set pay full seat get access full seat httptcosbaaricyq,0
sorri bother hold hour minut continu hold call back,0
anoth great trip lax las bna thank much,1
checkin lame busi realli last seat broad shoulder haha,0
yeah somewher hope get back today just frustrat tweet,0
complet understand act god weatherrel flightd cancel flightlat day without reimburs kind unaccept,0
expens go vega stop late flight june can get non stop competit,0
delay twice now cancel flighteds complaint email yet respons need explan pls notsatisfi smh unhappi,0
got help nice ladi phone georgia thank,1
flight resum don see open schedul,0
thank quick repli travel lot much,1
sound hope thin devic just hope right person found time,0
bag shown luv make phl,0
regret fli morn support busi travel neverflyvirginforbusi,0
thank go motion short flight yesterday wonder quick flight attend notifi,1
mani other know stop non stop flight atl hartford ct april,0
nice touch passbook integr,1
companion pass flyer airlin abus everi airport,0
disappoint blatant disregard busi select custom becom problem push,0
awesom thank guy rock,1
hello remain credit account refund back credit card choos lower price flight,0
eventu arriv just seem realli slow,0
bag way chicago without help confirm flight told room screw,0
just reciev email memphi station hope bag,0
just land phl row window cover nsw use luv httptcowqzztiemx,0
thank ad passbook abil hope can group passbook ticket futur somehow,1
yep certain flight,0
arriv late flight pilot got us dia time impress outstand greatservic allgood,1
appreci thank,1
never got email confirm ticket credit card charg phone wait time crazi chat,0
res chg onlineapp work still hold faster hubbi drive airport make chang counter fail,0
friend boston stuck denver name jane pleas contact,0
one can find bag need everyth next two hour,0
abl sit seat sinc guy next use worstflightev ideserveareward httptcolhsnlgi,0
glad know fli luv airlin tomorrow,1
yes file report treat rather rude midway baggag claim now wait day get luggag,0
still companion pass ridicul airlin stop partner hilton hotel genius,0
just got companion pass tri add companion flgt get purchaseerrorinvalidloyaltymemberaccountstatus help,0
still heard thing,0
thank great custom servic tri make san antonio staff alert help boo ice,1
open seat like open marriag much love stranger,1
hope real life scene movi flight,0
name jane want call,0
love fli southwest excel servic take serious,1
even better price chang minut sinc talk ladi still honor cheap,1
password reset email incred slow arriv today check spam folder web site say minut,0
terribl servic three airport hour glad care kind need home sellmypointssoon,0
thank confirm number just dmed appreci help,1
hold min estim answer time help,0
go start charg consist bodi pat down start feel like piec meat punishedforfli,0
wait time custom servic line tri x fri now min,0
flight delay hour anoth week anoth delay flight,0
bag possess cloth bag,0
realli go let get best httptcovudwjmlyb,0
pleas get back airtran credit qvnmb call told never get emailcal back,0
pleaseee resum direct flight fll phl want fli anyon els,0
show destin cloth suitcas nakedmeet awkward,0
anyon realiz ban peanut flight due allerg person ignor pnut oil amp dust previous flight,0
custom servic rude bother call idea go sigh heavili phone unbeliev,0
hrs late flightr human interact end ing complet new flight last flight sell,0
lose baggag day ago still idea interest find item new job bag unaccept,0
just sent dm thank attent matter,1
fix wifi rd flight work seri plane like old plane,0
mdwsan like flight watch free tv work hard access websit includ,0
almost gate sf pleas wait second,0
rt paid earli bird board got b said ladi well system dead understand,0
flight book say wait tomorrow,0
one plane thank take arizona httptcofinqfhu,1
gate agent gave wrong departur info caus miss flight now stand nothappi,0
thank,1
bag lost accord rep even know pleas help,0
sent dm detail thank,1
thank confirm mayb peopl flight direct dislexia,1
realli carrier staf got tripl loop one employe sight okc,0
thank cancel flight flight last minut cours gis now miss one full day trip thank,0
got home hour half late flight least baggag deliv soak wet,0
know d beyond awesom pair ticket show atl girl can dream destinationdragon,1
yes everyth work great,1
show love companion flightpleas thank,1
cancel flightl flight reschedul ewk gave pseudovouch direct worst exist fail,0
love,1
need train employe leas somewhat empathet lose luggag monika mwa need pr lesson,0
complet let tonight gate agent ambival just much sad amp,0
earli frontrunn best airlin oscar,1
flight cancel flightl new flight hour late flightr sleep airport tonight cant even give board group seat thx,0
right travel day guy drop ball make long night,0
custom servic passiv respons disappoint flown sw rethink,0
broke stroller wife babi gate check told problem call list prefer line now,0
joke return flight delay row new record guy,0
nbd abl figur workaround just want help got bag less hour late flightr mucha grassi ass,0
luggag deliveri am realli told midnight multipl time lie crazi bad busi,0
thx follow just sent dm,1
now get common courtesi phone call answer either polici bad peopl fire dissapont,0
ty consider,1
apolog whatev pleas just deliv bag like said feel like employe lie,0
robot run account one rememb anyth ask convers,0
never realli lost put anoth flight knowledg just sure flight ty,0
crew wn sansfo brilliant rita hilari know great flight,1
respond athlet notcool southwest,0
whole famili special olymp athlet even call,0
realli like baggag yesterday employe akron give tough time,0
thank excit see d,1
glad appreci ¡¯ll last dollar ever get thank wretch custom servic,0
wait min baggag mdwgtmem flight servic suspend drink,0
thank help mom let get plane orlando best customerservic,1
just tri rebook fare wanna get away price disappear time refresh normal,0
kudo crew flight grr make special memori sweet young passeng momma well done,1
thank uxzj paid earli bird sat back,0
good beer oscar ar dia,1
minut wait bag just need sunday night,0
luv companion pass,1
ok suppos california hrs ago,0
need cancel flight one leg flight seem onlin hold phone minut help,0
list prefer dendal flight cancel flightl min prior board best option tue afternoon serious epic fail,0
understand consist consist year known around countri,0
thank,1
deal multipl offic last day youv complet lost custom unless bag back,0
got call rdu baggag except help bc get fli back home,0
exampl pay hotel amp food transport altern citi fli give clear record alt flight,0
tough can take zero meaning assist strand day anoth matter look sign care abt cust,0
apolog someth word mean noth action work eom,0
hour half came back damag happi,0
custom servic rather inconsist inform,0
pull runway now make new friend seat mate thank respons cb,1
make us tru find space flight custom servic bad,0
delay pay bs a ticket board flight earli last board now middl seat wast,0
first good idea thatthi happen cancel flight earlier amateurish plan,0
disappoint handl tonight cancel flight dalla flight cancel flight conting,0
ok southwest still best airlin around just hate baggag room run now check bag headphon,1
pleas start fli huntsvill never fli american airlin,0
just care mighti dollar,0
beauti view fli san jose ca even httptcosxvagbrt,1
thank swa shannon g c miracl worker awesom,1
expect help gt lt flt canx last minut weather flew home weatherless,0
yes pleas,1
chang flight st loui thank repli though,1
realli offer sweep link go work b httptconofgtqhyn,0
companion pass year wife use time thank southwest make travel easi,1
can longer chang trip companion onlin year now get messag done onlin,0
wifi slow total preclud work web book swa busi travel wish lit fire,0
constant provid wonder view servic southwestluv httptcounxqotzik,1
everyon deserv red carpet tx destroy luggag amp give voucher like want fli w,0
staff overal aw multipl airport switch airlin anoth flight avail,0
alreadi card member well enjoy fli guy,1
th anniversari april th still sweetheart companion lifetim son famili love,1
yes pleas get companion pass,1
flight paid wifi load websit function except live stream unaccept,0
inspir start airlin combat weak ass airlin sick shit,0
yes pleas,1
miss mine terribl th anniversari amaz mean luv air dontmakemebeg,1
heart cp status sure nice though,1
redcarpet southwest companion pass great,1
want one,1
everyon flight cancel flightl today deserv,0
¡° companion pass everyon deserv redcarpet treatment even mom httptcoqjklabprg¡±,1
sign,1
brighter star combin red carpet tonight,1
auto check cp holder come,0
got mine just time wife th anniversari,1
love companion pass qualifi th year hollymai,1
continu amaz amaz custom servic thank swa,1
yes pleas,1
sign,1
just got minenow go,1
wifi worst invest ever made,0
sit newark flight cancel flightl appar reason told sorri hrs wait,0
bother help lost luggag singl help employe owner found bwi,0
serious four delay take minut get vega amp connect flight ridicul,0
get shit togeth owe bag,0
request board pass text still receiv,0
gave one tri figur get hr flight right nope delay hr seem everi time,0
gonna ignor fasten seatbelt sign want see ur man enough anyth,0
huge fan give y much busi pleas fix damn wifi,0
understand air delay control terribl telephon support app onlin access work,0
thank connect thru nashvill a board pass get dalla gate board min flt get end b group,1
weather keep slow us fault st time southwest flight mine late flight complain,1
thank,1
now board thank guy move standbi hold board pass sinc pm yesterday,0
beauti fleet perfect even fli httptcoxmztfix,1
leav bur ten minut late flight arriv sjc minut suppos impress gettingbett,1
two delay flight row neither one explain,0
sleep floor like homeless now delay flight equip work job get,0
guy stop servic denver horribl get stuck everi time almost hrs,0
thank minor delay big deal appreci concern though board now amaz servic,1
unpleas experi phone one agent re cancel flightl flight name amp agent id,0
wifi anger slow,0
thank,1
gate long time gonna miss connect mdw ack httptcoqrxvzfrdz,0
tweet sever time last week flight info storm alway time tweet back thx,1
sort arriv day late flight incur overnight cost connect citi cool,0
promis room wednesday wentook hotel charg us per room pink paper need white,0
just sent,0
rule probabl appli time just sometim shouldhaveflownjetblu,0
prop las employe work c gate oppos fli las futur,1
baggag deliveri bwi delay unnecessarili chaotic disappoint long trip frequent travel,0
carrier fli way past sw cancel flightlat got passeng much late flightr,0
extrem frustrat travel experi denver instead land sea saturday now monday afternoon,0
call someon monday custom relat disappoint treat custom servic,0
complimentari hotel voucher bs night crappiest hotel ever wish worst enemi,0
worst air line ever compass handicap,0
bunch liar cancel flightl flight rebook us four day late flightr,0
ohk thank bc inexpens airfar southwest can now travel around,1
golf bag broken flight just took process damag reimburs,0
ridicul want charg chang flight even multipl seat avail flight need,0
mad love httptcoojrsdwpkk nyc,1
thank cancel flight flight bos strand den til wed night us never fli southwest,0
tri find airfar famili price ridicul almost notmadeofmoney,0
fav,1
flight delay till tomorrow curs weather,0
now lucki forc good deed get smash huge ppl exit row thank god tini,0
just got back min ago went hrs wo appreci support voucher essenti,1
btw complet unabl buy wifi flight use galaxi s zoom scroll touch buy,0
host parti termin atlanta peanutsonaplatt,1
just watch crew flight help elder ladi planefirstclass,1
still know ski get call back bag svc airport left sever msgs,0
wife flight dal just got cancel flightl find option get back home phxgtdal,0
thank respons flight time pass rebook now,0
lt lt rt sorri hear wifi connect dani pleas dm us conf can help thank,0
guy rule dm lt thank,1
good back see sever week,1
boooo like airlin httptcowhagpknnlf,0
stewardess realli funni now get gent next use headphon perfect flight,1
find way cancel flight flight,0
thx note flight cancel flightl today book go anoth carrier,0
get phone call custom servic rep get issu resolv,0
think great peopl work,1
way go fli denver today must airlin cancel flightingdelay flight flyswa denverairport,1
first pilot first offic galley flight,0
flight got cancel flightl hrs takeoff custom servic hold minut,0
wait half hour check baggag deliv updat ground crew,0
promot email today vega jamaica defect link vega sweepstak time error,0
like said reach anyon compani rent car chalk whole thing loss,0
guy amaz send peopl meet imagin dragon destinationdragon,1
frequent travel never treat cold amp airlin offer noth flight cancel flightl nolov,0
neveryamind paid flight new bag easi busi class custom right httptcovnjjiao,0
baggag motto cover small tear rip seam snow soak bust zipper sorri httptcolhwfbkfyni,0
total ruin birthday weekend cancel flight flight reason offer point drink transport nolov cali,0
happen custom servic cancel flightl flight day amp uninform unapologet staff nolov cali,0
mayb comp quiet accept delay cancel flightat instead irat less issu justsay,0
noth ruin just wet just frustrat travel hour chang clean cloth,0
tri hrs contact sw twitter fb phone email w repli hrs late flightr u respond point,0
line mile long sky harbor morn staff courteous expediti thank onechildfourbag,1
never aw custom servic conflict servic outrag,0
just realiz wrong departur date thank make chang easi,1
last week flew dal lax got us almost hour earli thank,1
hour frustrat hang,0
thank terribl servic strand mdw day amp now find confirm rebook flight mke,0
fyi link baggag incid email redirect mobil link auto chang mobil desktop work fine,0
say custom servic consist best,1
tfw appreci tweet back unexpect,1
yo mom say hire staff accommod audienc learn lot fl,0
although wait long due weather rschedul phone call super rep solv issu thank,1
never abl talk someon buy anoth new ticket call short refund,0
tfw tyspent total hrs min hold cell batteri die final made arrang w kind rep,0
y better,1
min hold final hung ridicul wait time can assist cancel flight reserv,0
make world better place visit elder relat,1
woman get plane hold seat bulkhead friend c board pass paid earlybird thx,0
grouchi flight complimentarybeveragesneed,0
plane switch meant back plane disappoint,0
let oversold earlybirdmeansnoth,0
clear care troubl yday thought share bag took gtmin came back absolut drench,0
look like run day still get phone can follow can dm info,0
customerservicefail almost miss flight long slow bwi ticket line rather make complaint flight,0
start new job tomorrow amp cancel flight flight bwilax realli get anoth flight today,0
human contact mths cust relat refund dept ever problem u human can talk,0
cxed almost entir east coast flight plane take travel fine need get nev asap,0
hour hold custom servic never us sw,0
final passbook option swa app thank,1
dmd thank,1
great flight yesterday msi aus thank great safetyservic beauti sky httptcoxeqyahfvz,1
stuck nyc flight cancel flightl day row long wait time phone run swa help,0
ever reinstat cancel flight flight,0
great exampl custom servic morn msi head atl alison bobbi fantast gate b thank,1
run money keep pay hotel room amp food nyc help peopl spent,0
flight cancel flightledtri get refund hold can get flight depart,0
offer atlanta unpreced perk httptconustgpelsf httptcobebkxbt,1
want pick custom sign,0
cancel flight sunday am flight dallasnext flight tuesday afternoon strand bs getmeouttaher southwestsuck,0
use luv swa hour count hold flight cancel flight noluv,0
luggag flight y bc ur flight n end ur goin httptcozjlztua,0
hrs hang oh understand thing get crazi n sometim hour long enough,0
thx custom servic rep alex patient help reflight book problem cancel flight flight get us tmrw,1
want explain hold hrs tonight tri reach custom servic learn monfr,0
cancel flightl flight asshol phone support worstairlin,0
flight cancel flightl bwi pbi get monday chanc seat open flight,0
hold hrs,0
real issu tri get thru hold hour amp got disconnect pleas help,0
now hold hour wait speak someon cancel flightl flight philli orl,0
happend flight get cancel flight hold hour help,0
gotta new record hrs air hrs wait bag deliv destin,0
thank help adam awesom gate agent b las get us home,1
yall sleep airport pm tomorrow thank,0
hold hour reschedul cancel flightl flight morn give need help now,0
fail southwest chang flight differ time citi blame correct furious,0
southwest airlin way go,1
hold hour minut rebook cancel flightlat guy need help,0
flight cancel flight two hour hold just hang littl help thx,0
hold hour call got disconnect thank lot,0
everyth ok rd call day time hold hrs hang tri,0
hold music need fixedcertain track loud phone button mash tone estim wait time help,0
hold hour disconnect flight cancel flightl swell compani,0
weather delay fault today get hotel two soak suitcas dri cloth stink frustrat,0
thank get home denver tonight despit snow,1
u text flight denver sd tmrw cancel flightl hold hour tri get help flight,0
wow minut hold far now phone die,0
never let,1
hold now hour min what holdup,0
wait minut hold yall cancel flightl return flight answer phone,0
delaci p compassion profession despit flight challeng made passeng feel like prioriti,1
pilotsamp crew flt custom servic profession baggag claim outstand thank,1
find parent luggag realli went fll cancel flight sw flight call iflyswa long long wait,0
hold hour need rebook flight cancel flight help,0
flight cancel flightl stuck day paid board refus honor reschedul flight,0
flight today phl dal cancel flightl min hold rebook tomorrow now flight cancel flightl hold,0
hold hr rebook cancel flight flight anyon work,0
thank help class act way see air,1
flight bos cancel flightl flight till tuesday spent get flight anoth airlin hotel refund,0
flight cancel flight hold minut human interact wanna get away,0
hold airlin min count servic terribl,0
hold minut tri rebook cancel flightl flight companion ticket help,0
still baltimor lap around us laugh ridicul,0
worst servic cancel flightl flight fll phl flight flew stuck fl day done,0
flight cancel flight tomorrow hold time long can cancel flight leg,0
phone line suck dilemma,0
week valentin day feel luv go hrs bag even come w,0
sure hope abl get bag memphi tomorrow nice clean cloth work,0
rerout bfs flight diabet littl insulin even though tri chang agent,0
thing free flight gonna spend board rental bc swa get baggag greenvill w,0
cancel flightl flight fort lauderdal philli usair flight got philli problem wtf wrong sw,0
kudo ad passbook app love,1
male flight attend flight orlando indi amaz need rais best experi,1
flight boston tmrw cancel flightl,0
baggag track system,0
thx grand view today flt seatac phx grandcanyon arizona wow love photographi httptcodpqouatdf,1
still left mayb time suppos fli back austin tuesday move,0
come hrs gate leav without baggag swa nightmar,0
final board look like make final destin baggag baggagefail bagsflyfreebutnotwithm,0
crazi everi airlin flew northeast tonight except,0
min get bag check n atx miss flight spend day n get baggag end epitimeoffail,0
want thank great effort jami mckinni buf true pro major delay own rais,1
fli coupl week need ticket chang maiden name marri name pls help,0
hour airport move bag one plane anoth furious,0
thank make good s cancel flightl flight,1
just sent anoth drink coupon think coupon now free drink anyon,1
mani tree die stop tri sell us credit card optout httptcocxrzhcdtvz,0
bag fli freejust go,0
hrs put tag bag sayin go greenvill instead raleigh kid,0
disappoint faa regul furnish proof age toddler thx unnecessari headach flyunit,0
love southwest accept flight attend mani talent alway flyswa,1
fli spirit air,0
hrs baltimor still go get baggag greenvill w just unbeliev,0
fli april first time southwest wait flew american airlin last time meh,1
baggag claim alreadi chang x recent bag come stopclaim team idea go,0
flight multipl track site date info swas app websit,0
